id,data,święto,dzień_roboczy,pogoda,temperatura,odczuwalna_temperatura,wilgotność,prędkość_wiatru,studenty_ms
1,2020-01-02,False,True,ładna_pogoda,2,0,39,23,12
2,2020-01-03,False,True,ładna_pogoda,-2,0,47,7,15
4,2020-01-05,False,False,ładna_pogoda,-1,-3,47,11,6
5,2020-01-06,True,False,ładna_pogoda,-2,-4,51,11,18
7,2020-01-08,False,True,ładna_pogoda,-6,-7,36,16,11
8,2020-01-09,False,True,ładna_pogoda,-5,-9,46,16,5
10,2020-01-11,False,False,lekkie_opady,-4,-9,93,12,0
11,2020-01-12,False,False,ładna_pogoda,-4,-8,50,22,0
13,2020-01-14,False,True,ładna_pogoda,-3,-2,59,0,16
14,2020-01-15,False,True,pochmurno,3,0,39,16,3
16,2020-01-17,False,True,lekkie_opady,-4,-7,80,12,0
17,2020-01-18,False,False,pochmurno,-1,-3,87,0,22
19,2020-01-20,False,True,pochmurno,0,-4,60,19,5
20,2020-01-21,False,True,ładna_pogoda,-7,-11,33,27,11
22,2020-01-23,False,True,ładna_pogoda,-7,-7,36,16,0
23,2020-01-24,False,True,ładna_pogoda,-5,-7,59,12,12
25,2020-01-27,False,True,ładna_pogoda,-3,-2,74,6,20
26,2020-01-28,False,True,pochmurno,0,-3,70,12,1
28,2020-01-30,False,True,pochmurno,0,0,65,7,15
29,2020-01-31,False,True,lekkie_opady,-4,-7,59,11,0
31,2020-02-02,False,False,ładna_pogoda,0,-7,48,36,3
32,2020-02-03,False,True,ładna_pogoda,-2,-4,47,6,19
34,2020-02-05,False,True,ładna_pogoda,2,-1,87,16,10
35,2020-02-06,False,True,ładna_pogoda,1,0,61,7,35
37,2020-02-08,False,False,ładna_pogoda,-4,-7,40,22,0
38,2020-02-09,False,False,lekkie_opady,-5,-7,86,11,6
40,2020-02-11,False,True,ładna_pogoda,-1,-1,55,8,16
41,2020-02-12,False,True,ładna_pogoda,0,0,41,15,16
43,2020-02-14,False,True,ładna_pogoda,5,0,46,31,17
44,2020-02-15,False,False,ładna_pogoda,0,0,33,7,27
46,2020-02-17,False,True,ładna_pogoda,11,8,59,22,30
47,2020-02-18,False,True,ładna_pogoda,17,18,31,12,31
49,2020-02-20,False,True,pochmurno,4,4,42,0,24
50,2020-02-21,False,True,lekkie_opady,0,-3,81,26,0
52,2020-02-23,False,False,ładna_pogoda,0,-2,60,11,23
53,2020-02-24,False,True,pochmurno,4,0,93,23,10
